Date,MaxT,MinT,Pcpn,Snow,Snwg
4/18/2015,84,52,0,M,M
4/19/2015,83,53,0,M,M
4/20/2015,74,51,0,M,M
4/21/2015,67,55,0,M,M
4/22/2015,67,54,0,M,M
4/23/2015,69,52,0,M,M
4/24/2015,65,57,0,M,M
4/25/2015,64,54,0.01,M,M
4/26/2015,80,60,0,M,M
4/27/2015,88,57,0,M,M
4/28/2015,92,55,0,M,M
4/29/2015,96,60,T,M,M
4/30/2015,93,61,0,M,M
5/1/2015,91,60,0,M,M
5/2/2015,90,58,0,M,M
5/3/2015,79,56,0,M,M
5/4/2015,73,53,0,M,M
5/5/2015,66,55,0,M,M
5/6/2015,66,57,0,M,M
5/7/2015,66,52,T,M,M
5/8/2015,62,49,T,M,M
5/9/2015,70,53,0,M,M
5/10/2015,81,50,0,M,M
5/11/2015,87,56,0,M,M
5/12/2015,73,55,0,M,M
5/13/2015,69,55,0,M,M
5/14/2015,63,52,0.25,M,M
5/15/2015,68,51,T,M,M
5/16/2015,71,51,0,M,M
5/17/2015,72,56,0,M,M
5/18/2015,72,56,0,M,M
5/19/2015,74,52,0,M,M
5/20/2015,72,56,0,M,M
5/21/2015,69,54,0,M,M
5/22/2015,67,56,0,M,M
5/23/2015,73,53,0,M,M
5/24/2015,73,56,0,M,M
5/25/2015,73,55,0,M,M
5/26/2015,74,57,0,M,M
5/27/2015,78,57,0,M,M
5/28/2015,82,54,0,M,M
5/29/2015,88,56,0,M,M
5/30/2015,88,58,0,M,M
5/31/2015,80,57,0,M,M
6/1/2015,83,57,0,M,M
6/2/2015,80,57,0,M,M
6/3/2015,76,59,T,M,M
6/4/2015,71,59,0,M,M
6/5/2015,75,59,0,M,M
6/6/2015,78,57,0,M,M
6/7/2015,96,57,T,M,M
6/8/2015,102,63,M,M,M
6/9/2015,84,68,0.02,M,M
6/10/2015,79,62,T,M,M
6/11/2015,80,60,T,M,M
6/12/2015,79,62,T,M,M
6/13/2015,78,62,T,M,M
6/14/2015,88,61,T,M,M
6/15/2015,92,61,T,M,M
6/16/2015,90,61,M,M,M
6/17/2015,91,61,0,M,M
6/18/2015,97,61,0,M,M
6/19/2015,96,63,0,M,M
6/20/2015,95,64,0,M,M
6/21/2015,89,65,T,M,M
6/22/2015,89,64,0,M,M
6/23/2015,92,63,0,M,M
6/24/2015,91,64,T,M,M
6/25/2015,94,65,T,M,M
6/26/2015,95,63,0,M,M
6/27/2015,89,64,T,M,M
6/28/2015,101,71,0,M,M
6/29/2015,102,72,0,M,M
6/30/2015,99,71,T,M,M
7/1/2015,95,73,0,M,M
7/2/2015,94,70,0,M,M
7/3/2015,92,65,0,M,M
7/4/2015,85,62,0,M,M
7/5/2015,83,62,0,M,M
7/6/2015,83,62,0,M,M
7/7/2015,83,62,0,M,M
7/8/2015,77,64,0,M,M
7/9/2015,76,62,0,M,M
7/10/2015,78,59,0,M,M
7/11/2015,84,61,0,M,M
7/12/2015,90,62,0,M,M
7/13/2015,91,64,0,M,M
7/14/2015,91,63,0,M,M
7/15/2015,87,64,0,M,M
7/16/2015,88,63,0,M,M
7/17/2015,93,61,0,M,M
7/18/2015,85,64,0.54,M,M
7/19/2015,93,69,0.06,M,M
7/20/2015,87,73,0,M,M
7/21/2015,85,70,0,M,M
7/22/2015,84,68,0,M,M
7/23/2015,87,65,0,M,M
7/24/2015,93,67,0,M,M
7/25/2015,95,67,0,M,M
7/26/2015,88,66,0,M,M
7/27/2015,87,64,0,M,M
7/28/2015,93,64,0,M,M
7/29/2015,93,64,0,M,M
7/30/2015,95,71,0,M,M
7/31/2015,96,68,0,M,M
8/1/2015,92,65,0,M,M
8/2/2015,91,66,T,M,M
8/3/2015,91,66,0,M,M
8/4/2015,95,67,0,M,M
8/5/2015,97,69,T,M,M
8/6/2015,93,69,0,M,M
8/7/2015,85,64,0,M,M
8/8/2015,84,64,0,M,M
8/9/2015,84,62,0,M,M
8/10/2015,85,60,0,M,M
8/11/2015,87,61,0,M,M
8/12/2015,100,62,T,M,M
8/13/2015,103,69,T,M,M
8/14/2015,105,70,M,M,M
8/15/2015,107,74,0,M,M
8/16/2015,106,72,0,M,M
8/17/2015,90,69,0,M,M
8/18/2015,88,66,0,M,M
8/19/2015,87,65,0,M,M
8/20/2015,86,65,0,M,M
8/21/2015,84,64,0,M,M
8/22/2015,88,65,0,M,M
8/23/2015,96,66,0,M,M
8/24/2015,98,65,0,M,M
8/25/2015,86,70,T,M,M
8/26/2015,99,72,0,M,M
8/27/2015,102,72,0,M,M
8/28/2015,105,72,0,M,M
8/29/2015,101,73,0,M,M
8/30/2015,92,70,0,M,M
8/31/2015,89,66,0,M,M
9/1/2015,86,66,0,M,M
9/2/2015,83,66,0,M,M
9/3/2015,80,64,0,M,M
9/4/2015,80,64,0,M,M
9/5/2015,87,61,T,M,M
9/6/2015,93,61,M,M,M
9/7/2015,96,68,0,M,M
9/8/2015,103,72,T,M,M
